#,Status,Name,Preview,Filled,Animated,Category,Creative Freedom,Brief,Keywords,FigmaPath,Style,NodeId,HasOutlined,HasFilled,File
164,To Do,nu-id,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/164-nu-id.png"")",FALSE,FALSE,Financial,,,,outlined/financial/other/nu-id,outlined,26998:2189,True,False,164-nu-id.png
165,To Do,drag_arrows,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/165-drag_arrows.png"")",FALSE,FALSE,UI Actions,,,,outlined/ui actions/common actions/drag_arrows,outlined,26749:2091,True,False,165-drag_arrows.png
166,To Do,horizontal_card_transfer_limits,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/166-horizontal_card_transfer_limits.png"")",FALSE,FALSE,Financial,,,,outlined/financial/cards/horizontal_card_transfer_limits,outlined,147:2006,True,False,166-horizontal_card_transfer_limits.png
167,To Do,toll,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/167-toll.png"")",FALSE,FALSE,Objects,,,,outlined/objects/transport/toll,outlined,147:1697,True,False,167-toll.png
168,To Do,placeholder,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/168-placeholder.png"")",FALSE,FALSE,Actions,,,,outlined/actions/common actions/placeholder,outlined,147:1817,True,False,168-placeholder.png
169,To Do,passport,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/169-passport.png"")",FALSE,FALSE,Categories,,,,outlined/categories/travel/passport,outlined,7791:2324,True,False,169-passport.png
170,To Do,refinance,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/170-refinance.png"")",FALSE,FALSE,Financial,,,,outlined/financial/other/refinance,outlined,147:1994,True,False,170-refinance.png
171,To Do,money_heart,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/171-money_heart.png"")",FALSE,FALSE,Financial,,,,outlined/financial/other/money_heart,outlined,20350:2089,True,False,171-money_heart.png
172,To Do,video_off,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/172-video_off.png"")",FALSE,FALSE,System,,,,outlined/system/video_off,outlined,147:1660,True,False,172-video_off.png
173,To Do,running_shoes,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/173-running_shoes.png"")",FALSE,FALSE,Categories,,,,outlined/categories/travel/running_shoes,outlined,7791:2330,True,False,173-running_shoes.png
174,To Do,money_protected,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/174-money_protected.png"")",FALSE,FALSE,Objects,,,,outlined/objects/security/money_protected,outlined,6258:1764,True,False,174-money_protected.png
175,To Do,elevator,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/175-elevator.png"")",FALSE,FALSE,Categories,,,,outlined/categories/travel/elevator,outlined,147:2151,True,False,175-elevator.png
176,To Do,microphone_off,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews-remaining/176-microphone_off.png"")",FALSE,FALSE,System,,,,outlined/system/microphone_off,outlined,147:1656,True,False,176-microphone_off.png
