Rank,Name,Preview,File
43,triangle_up,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/043-triangle_up.png"")",043-triangle_up.png
44,recurring_payments,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/044-recurring_payments.png"")",044-recurring_payments.png
45,contactless,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/045-contactless.png"")",045-contactless.png
46,warning_circle,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/046-warning_circle.png"")",046-warning_circle.png
47,phone,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/047-phone.png"")",047-phone.png
48,expand_more,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/048-expand_more.png"")",048-expand_more.png
49,trash,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/049-trash.png"")",049-trash.png
50,globe,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/050-globe.png"")",050-globe.png
51,user_add,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/051-user_add.png"")",051-user_add.png
52,money_in,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/052-money_in.png"")",052-money_in.png
53,money_out,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/053-money_out.png"")",053-money_out.png
54,snowflake,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/054-snowflake.png"")",054-snowflake.png
55,document,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/055-document.png"")",055-document.png
56,dollar_sign,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/056-dollar_sign.png"")",056-dollar_sign.png
57,check_circle,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/057-check_circle.png"")",057-check_circle.png
58,copy,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/058-copy.png"")",058-copy.png
59,arrow_down,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/059-arrow_down.png"")",059-arrow_down.png
60,key,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/060-key.png"")",060-key.png
61,lock_open,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/061-lock_open.png"")",061-lock_open.png
62,check,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/062-check.png"")",062-check.png
63,close,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/063-close.png"")",063-close.png
64,lock,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/064-lock.png"")",064-lock.png
65,warning,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/065-warning.png"")",065-warning.png
66,calendar_overdue,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/066-calendar_overdue.png"")",066-calendar_overdue.png
67,advance_installments,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/067-advance_installments.png"")",067-advance_installments.png
68,arrows_up_down,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/068-arrows_up_down.png"")",068-arrows_up_down.png
69,briefcase,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/069-briefcase.png"")",069-briefcase.png
70,camera,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/070-camera.png"")",070-camera.png
71,card_given,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/071-card_given.png"")",071-card_given.png
72,clock,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/072-clock.png"")",072-clock.png
73,contacts,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/073-contacts.png"")",073-contacts.png
74,credit_letter,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/074-credit_letter.png"")",074-credit_letter.png
75,download,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/075-download.png"")",075-download.png
76,email,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/076-email.png"")",076-email.png
77,expand_less,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/077-expand_less.png"")",077-expand_less.png
78,headset,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/078-headset.png"")",078-headset.png
79,hourglass,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/079-hourglass.png"")",079-hourglass.png
80,image_add,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/080-image_add.png"")",080-image_add.png
81,location,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/081-location.png"")",081-location.png
82,modes,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/082-modes.png"")",082-modes.png
83,money,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/083-money.png"")",083-money.png
84,money_self_transfer,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/084-money_self_transfer.png"")",084-money_self_transfer.png
85,moon,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/085-moon.png"")",085-moon.png
86,nucoin,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/086-nucoin.png"")",086-nucoin.png
87,phone,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/087-phone.png"")",087-phone.png
88,pig_auto,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/088-pig_auto.png"")",088-pig_auto.png
89,pig_in,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/089-pig_in.png"")",089-pig_in.png
90,pig_locked,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/090-pig_locked.png"")",090-pig_locked.png
91,pig_out,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/091-pig_out.png"")",091-pig_out.png
92,remove,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/092-remove.png"")",092-remove.png
93,score,"=IMAGE(""https://raw.githubusercontent.com/zezorzan/zeroheight-integration-test/main/icon-previews/093-score.png"")",093-score.png
